建案名稱,最近日期,最早日期,報告次數,警戒次數,行動次數,alert次數,相關廠商,風險因子,原始檔名範例
開揚-大安區金華段日,2026-01-20,2026-01-19,17,26,8,0,,,1130620開揚-大安區金華段日報告.pdf; 1130411開揚-大安區金華段日報告.pdf
台大仁愛醫護大樓(古蹟區及周邊),2026-01-20,2026-01-20,2,6,2,0,,,台大仁愛醫護大樓(古蹟區及周邊)報表1140729.pdf; 台大仁愛醫護大樓(古蹟區及周邊)報表1140827.pdf
台大仁愛醫護大樓,2026-01-20,2026-01-20,60,173,48,25,,,台大仁愛醫護大樓量測報表1131018.pdf; 台大仁愛醫護大樓量測報表1140513.pdf
台大仁愛醫護大樓(古蹟區含周邊),2026-01-20,2026-01-20,1,3,1,0,,,台大仁愛醫護大樓(古蹟區含周邊)報表1140924.pdf
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.170,2026-01-20,2026-01-20,1,1,0,1,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140820 NO.170.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.168,2026-01-20,2026-01-20,1,2,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140813 NO.168.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.169,2026-01-20,2026-01-20,1,1,0,1,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140818 NO.169.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.171,2026-01-20,2026-01-20,1,1,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140825 NO.171.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.172,2026-01-20,2026-01-20,1,1,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140827 NO.172.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.173,2026-01-20,2026-01-20,1,1,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140901 NO.173.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.167,2026-01-20,2026-01-20,1,1,0,1,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140811 NO.167.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.166,2026-01-20,2026-01-20,1,2,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140806 NO.166.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.165,2026-01-20,2026-01-20,1,2,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140804 NO.165.pd
新總陽建設北投區大業段四小段574地號商辦大樓新建工程  NO.164,2026-01-20,2026-01-20,1,3,0,0,,,永森營造-新總陽建設北投區大業段四小段574地號商辦大樓新建工程 1140730 NO.164.pd
