建照字號,建案名稱,失效 folder_id,失效完整 URL,檢查日
106建字第0005號,,1ySQ0UXbai2PyhcEXmliJUQpK3dFYKvPd,https://drive.google.com/drive/folders/1ySQ0UXbai2PyhcEXmliJUQpK3dFYKvPd?usp=drive_link,2026-05-05
107建字第0095號,,1c-EQyWlBUhqgB8a0jIhBOMN5fwZlzoM6,https://drive.google.com/drive/folders/1c-EQyWlBUhqgB8a0jIhBOMN5fwZlzoM6?usp=drive_link,2026-05-05
107建字第0200號,,1m7lZtJoqq_TiOesDmf86bIyhR35QBN1p1,https://drive.google.com/drive/folders/1m7lZtJoqq_TiOesDmf86bIyhR35QBN1p1/30,2026-05-05
108建字第0038號,,1vwRWR5PqYmRUgaT_sADe5yqcmsy45DZy,https://drive.google.com/drive/folders/1vwRWR5PqYmRUgaT_sADe5yqcmsy45DZy?usp=sharing,2026-05-05
108建字第0111號,宏築信義,1TtCcncrR0RO2xmQK2r02nr6u2ilCWij2,https://drive.google.com/drive/folders/1TtCcncrR0RO2xmQK2r02nr6u2ilCWij2,2026-05-05
109建字第0021號,,1HlWuz3YlkziTYoro7dE6CAqFlKl9VlgO,https://drive.google.com/drive/folders/1HlWuz3YlkziTYoro7dE6CAqFlKl9VlgO?usp=drive_link,2026-05-05
109建字第0038號,,1-0fOfZv3e55vL0eDk6kK6n10oQwEGlE93,https://drive.google.com/drive/folders/1-0fOfZv3e55vL0eDk6kK6n10oQwEGlE93/30,2026-05-05
109建字第0075號,帆登天母九五尊邸觀測資料,15T-pelHn_M5coFj0AYBOHuE4tdWIEF7p,https://drive.google.com/drive/u/1/folders/15T-pelHn_M5coFj0AYBOHuE4tdWIEF7p,2026-05-05
109建字第0170號,臺北市立大安高級工業職業學校新建綜合教學大樓工程,13WxNni7jwo00orW2Wm7BLx4nR3C2wPKW,https://drive.google.com/drive/folders/13WxNni7jwo00orW2Wm7BLx4nR3C2wPKW?usp=drive_link,2026-05-05
109建字第0216號,,1wXqyUQVOlI3fG8I8XhKh3dRAuMsQPibW,https://drive.google.com/drive/u/0/folders/1wXqyUQVOlI3fG8I8XhKh3dRAuMsQPibW,2026-05-05
109建字第0252號,,11YOVjEgtg56dLKk2cSjtMCrOHF1VBwMU5,https://drive.google.com/drive/folders/11YOVjEgtg56dLKk2cSjtMCrOHF1VBwMU5/30,2026-05-05
110建字第0056號,,1FH15TL5odqI_koBJIr0mYif1Mg1x6KF_,https://drive.google.com/drive/folders/1FH15TL5odqI_koBJIr0mYif1Mg1x6KF_?usp=sharing,2026-05-05
110建字第0075號,,10cnZCY0b7fPNQrr6q9Nt88BFX8Jv-F2h,https://drive.google.com/drive/folders/10cnZCY0b7fPNQrr6q9Nt88BFX8Jv-F2h?usp=sharing,2026-05-05
110建字第0143號,東騰建設序東騰新建工程()No.,15384CAr86RldzBIIogDvgAVqy16Dndwk,https://drive.google.com/drive/folders/15384CAr86RldzBIIogDvgAVqy16Dndwk,2026-05-05
110建字第0153號,,10zIQ4EmhXbC0RaeQOwgkpbTzOenXklQb,https://drive.google.com/drive/folders/10zIQ4EmhXbC0RaeQOwgkpbTzOenXklQb?usp=drive_link,2026-05-05
110建字第0239號,,1cmxX_j09Rzmb1_-QGyd0JQaiQOe_uobl,https://drive.google.com/drive/folders/1cmxX_j09Rzmb1_-QGyd0JQaiQOe_uobl?usp=drive_link,2026-05-05
110建字第0339號,,1WbGO7UcVLyKvGZez3ihz3CiFqQE_TBcA,https://drive.google.com/drive/folders/1WbGO7UcVLyKvGZez3ihz3CiFqQE_TBcA?usp=sharing,2026-05-05
110建字第0358號,,1WaJjr_o9mZ9IC9BFDBZvFMZ7NBsP4s38,https://drive.google.com/drive/folders/1WaJjr_o9mZ9IC9BFDBZvFMZ7NBsP4s38?hl=zh-tw,2026-05-05
111建字第0055號,,18l71n-CEc280YhNlHn7L_6vIqw0KxOO8,https://drive.google.com/drive/folders/18l71n-CEc280YhNlHn7L_6vIqw0KxOO8?usp=sharing,2026-05-05
111建字第0071號,,1quwWK4BF-EZnmTrodJrXG-OQ-lFmxqMK,https://drive.google.com/drive/folders/1quwWK4BF-EZnmTrodJrXG-OQ-lFmxqMK,2026-05-05
111建字第0118號,和暘豪景工地,1_bw-nSnG1_7KUYvOlDTVNTadKotXshIs19,https://drive.google.com/drive/folders/1_bw-nSnG1_7KUYvOlDTVNTadKotXshIs19/30,2026-05-05
111建字第0131號,,1lREcyhd6lC8TyOAa8MD8yNrMiUVJXoR4,https://drive.google.com/drive/folders/1lREcyhd6lC8TyOAa8MD8yNrMiUVJXoR4?usp=sharing,2026-05-05
111建字第0140號,文昌217店鋪,1ZE_eoVKW_cyeHN_cxTc0Ph5seZxVsEbo20,https://drive.google.com/drive/folders/1ZE_eoVKW_cyeHN_cxTc0Ph5seZxVsEbo20/30,2026-05-05
111建字第0149號,,1sG7epJVR5B3vIdPNg1nVf7kGvAYpisvx,https://drive.google.com/drive/folders/1sG7epJVR5B3vIdPNg1nVf7kGvAYpisvx?usp=drive_link,2026-05-05
111建字第0153號,,1Og0ah_iOEt8RxhRD-eiPJscmjWeUuaN1,https://drive.google.com/drive/u/1/folders/1Og0ah_iOEt8RxhRD-eiPJscmjWeUuaN1,2026-05-05
111建字第0188號,,1ZsfcqyuBmNqUMMGi439VD6-FPfbsALUf,https://drive.google.com/drive/folders/1ZsfcqyuBmNqUMMGi439VD6-FPfbsALUf?usp=drive_link,2026-05-05
111建字第0192號,,1_xZYBOwaY9jH3vLut-KFgLafgMiB05se,https://drive.google.com/drive/folders/1_xZYBOwaY9jH3vLut-KFgLafgMiB05se?usp=sharing,2026-05-05
111建字第0232號,寶信營造軟橋段,1zH24RnG1mCWW4IQGU3G8Sw2Sw-6YejVg22,https://drive.google.com/drive/folders/1zH24RnG1mCWW4IQGU3G8Sw2Sw-6YejVg22/30,2026-05-05
111建字第0311號,台北市南港區南港段二小段671-6等52筆地號新建工程,1GvGZrO5Aa39lMzPAnV3oRwcKvmct8prH,https://drive.google.com/drive/folders/1GvGZrO5Aa39lMzPAnV3oRwcKvmct8prH,2026-05-05
111建字第0340號,,1DhIxy4B9cRqJTjKUNBCfztD-hArQQD8L,https://drive.google.com/drive/folders/1DhIxy4B9cRqJTjKUNBCfztD-hArQQD8L?usp=sharing,2026-05-05
111建字第5688號,世久松湖量測報表,167jbMwJ4dhd_jf8o4vehepT_GaKoJEnV111,https://drive.google.com/drive/u/0/folders/167jbMwJ4dhd_jf8o4vehepT_GaKoJEnV111,2026-05-05
112建字第0041號,全樂建設-士林區永平段案,18qxY_9G6nle52cCyq2xDfjSBI_Ne631w26,https://drive.google.com/drive/folders/18qxY_9G6nle52cCyq2xDfjSBI_Ne631w26/30,2026-05-05
112建字第0100號,通化段四小段336地號,1oqUFJxxPRddWxyLevvEHe504ltsyX2Nj27,https://drive.google.com/drive/u/0/folders/1oqUFJxxPRddWxyLevvEHe504ltsyX2Nj27/30,2026-05-05
112建字第0162號,華固時代置地,1R5z2t8sPkJh5LumCkrmxs11UgsLreBYm28,https://drive.google.com/drive/folders/1R5z2t8sPkJh5LumCkrmxs11UgsLreBYm28/30,2026-05-05
112建字第0187號,福林案量測報表,1vhDIayQjGfZuWdgqvDN_O4_w5icG4FzQ,https://drive.google.com/drive/folders/1vhDIayQjGfZuWdgqvDN_O4_w5icG4FzQ?usp=sharing,2026-05-05
112建字第0222號,,1ofptYQa2cPGDTGDjZyPinAnqGXl3uEqo,https://drive.google.com/drive/u/1/folders/1ofptYQa2cPGDTGDjZyPinAnqGXl3uEqo,2026-05-05
112建字第0243號,新潤建設北投區軟橋段66.67.68等地號集合住宅新建工程,15Hf21ENWke_9PLv5osa4LM46En-Md_9z,https://drive.google.com/drive/folders/15Hf21ENWke_9PLv5osa4LM46En-Md_9z?usp=sharing,2026-05-05
112建字第0280號,,1wQqtIhV9LY02T4c6NNdz49I4_J2h8ETx,https://drive.google.com/drive/folders/1wQqtIhV9LY02T4c6NNdz49I4_J2h8ETx?usp=sharing,2026-05-05
113建字第0207號,臺北市士林區「芝山安居」社會住宅新建統包,1Ccp2sOCeyJ4AqFaHCxKzthJmMQBKAQnX113,https://drive.google.com/drive/folders/1Ccp2sOCeyJ4AqFaHCxKzthJmMQBKAQnX113,2026-05-05
