序號,建照字號,建案名稱,雲端服務,Drive PDF,系統 PDF,覆蓋率,警戒值項數,行動值項數,最近警戒日期,最新報告,距今天數,狀態,政府PDF URL狀態
1,"111建字第0276號","連雲玥恒","Google Drive",122,120,98%,0,0,,2026-07-22,0,in_progress,alive
2,"110建字第0167號","忠孝勤靜大樓","Google Drive",184,152,82%,0,0,,2026-07-22,0,in_progress,alive
3,"110建字第0176號","六福豐融商業大樓","Google Drive",143,141,98%,1,0,2026-07-21,2026-07-21,0,in_progress,alive
4,"111建字第0111號","信升昌-士林區蘭雅段489地號","Google Drive",91,73,80%,0,0,,2026-07-21,1,in_progress,alive
5,"112建字第0126號","揚昇君悅大樓新建工程 / 睦昇建設台北市復興南路敦化段三小段552地號28筆住宅","Google Drive",108,106,98%,0,0,,2026-07-20,1,in_progress,alive
6,"111建字第1688號","","Google Drive",122,0,-,0,0,,2026-07-20,2,not_uploaded,alive
7,"110建字第0221號","楊昇建設臺北市松山區西松段一小段74等地號都更住宅新建工程","Google Drive",149,0,-,0,0,,2026-07-20,2,completed_project,alive
8,"113建字第0187號","凌霄好室社會住宅新建統包","Google Drive",111,104,93%,0,1,2026-01-14,2026-07-17,4,in_progress,alive
9,"110建字第0163號","0163 安全","Google Drive",76,1,1%,0,0,,2026-07-17,4,in_progress,alive
10,"104建字第0225號","博物館3期新建工程","Google Drive",171,0,-,0,0,,2026-07-17,5,completed_project,alive
11,"110建字第0210號","台北首都都更建設蘭雅段南側基地集合住宅","Google Drive",18,10,55%,1,0,2026-03-02,2026-07-16,6,in_progress,alive
12,"113建字第0120號","台北市士林區蘭雅段新","Google Drive",30,8,26%,1,0,2026-03-02,2026-07-15,7,in_progress,alive
13,"111建字第0120號","東匯工地","Google Drive",49,39,79%,0,0,,2026-07-15,7,in_progress,alive
14,"111建字第0117號","臺灣戲曲學院_內湖校區「劇藝教學大樓新建工程」車道區基地觀測系統","Google Drive",293,270,92%,0,0,,2026-07-14,8,in_progress,alive
15,"111建字第0082號","新光南東大樓","Google Drive",176,0,-,0,0,,2026-07-13,9,not_uploaded,alive
16,"112建字第0056號","利晉緯成-安全監測系統量測","Google Drive",355,355,100%,0,0,,2026-07-10,12,completed,alive
17,"110建字第0360號","國產建材實業A棟企業總部大樓","Google Drive",268,222,82%,1,0,2026-01-19,2026-07-09,13,in_progress,alive
18,"112建字第0146號","天母鑲玉","Google Drive",90,1,1%,0,0,,2026-07-09,13,in_progress,alive
19,"111建字第0095號","樸園璞開石","Google Drive",95,0,-,0,0,,2026-07-07,15,not_uploaded,alive
20,"111建字第0158號","根基營造萬華區直興段","Google Drive",44,0,-,0,0,,2026-07-07,15,not_uploaded,alive
21,"111建字第0245號","國產建材實業B棟商業辦公大樓","Google Drive",91,91,100%,0,0,,2026-07-06,16,completed,alive
22,"110建字第0243號","璞真之道新建大樓日報","Google Drive",197,192,97%,1,0,2025-12-23,2026-07-05,17,in_progress,alive
23,"112建字第0031號","裕光東湖","Google Drive",110,0,-,0,0,,2026-07-03,19,not_uploaded,alive
24,"111建字第0348號","內湖康寧路","Google Drive",53,37,69%,0,0,,2026-07-03,19,in_progress,alive
25,"110建字第0315號","信義區永吉段152等4筆地號工地","Google Drive",84,66,78%,0,0,,2026-07-02,20,in_progress,alive
26,"112建字第0289號","合矩建設合矩青澄","Google Drive",69,4,5%,0,0,,2026-06-30,21,in_progress,alive
27,"109建字第0027號","台肥南港C4辦公大樓新建工程-專案","Google Drive",76,14,18%,0,0,,2026-06-30,22,in_progress,alive
28,"111建字第0258號","第一果菜市場","Google Drive",1405,1335,95%,0,0,,2026-06-25,26,in_progress,alive
29,"109建字第0262號","市府二小段商住新建工程","Google Drive",180,0,-,0,0,,2026-06-25,27,completed_project,alive
30,"110建字第0035號","建案安全監測告示牌規劃標準","Google Drive",75,0,-,0,0,,2026-06-17,35,completed_project,alive
31,"112建字第0080號","天母段三小段39、40等二筆地號","Google Drive",50,49,98%,1,0,2026-06-10,2026-06-10,42,in_progress,alive
32,"112建字第0123號","全球人壽新總部大樓新建工程","Google Drive",204,198,97%,0,0,,2026-06-01,51,in_progress,alive
33,"112建字第0118號","全球人壽新總部大樓新建工程","Google Drive",204,198,97%,0,0,,2026-06-01,51,in_progress,alive
34,"112建字第0097號","No29","Google Drive",128,5,3%,0,0,,2026-06-01,51,in_progress,alive
35,"110建字第0273號","萬鈞士林陽明段","Google Drive",91,0,-,0,0,,2026-05-25,58,completed_project,alive
36,"111建字第0129號","隆雲心仝聚安全監測報告","Google Drive",105,0,-,0,0,,2026-05-25,58,not_uploaded,alive
37,"107建字第0092號","鴻輝建設-台北市北投區崇仰段一小段131地號等住宅","Google Drive",154,0,-,1,0,2026-03-02,2026-05-25,58,completed_project,alive
38,"112建字第0177號","台北市大同區雙連段三小段99等22筆地號新建工程","Google Drive",95,85,89%,0,1,2026-02-12,2026-05-25,58,in_progress,alive
39,"112建字第0276號","廣鐿德惠段","Google Drive",40,35,87%,0,0,,2026-05-15,68,in_progress,alive
